Found 2 entries passing cut.
run 22952  chan 692  livetime 637.19
run 22954  chan 692  livetime 327.49
run 0  chan 0  livetime 0.00
run 0  chan 0  livetime 0.00
run 0  chan 0  livetime 0.00
run 0  chan 0  livetime 0.00
run 0  chan 0  livetime 0.00
run 0  chan 0  livetime 0.00
run 0  chan 0  livetime 0.00
run 0  chan 0  livetime 0.00
run 0  chan 0  livetime 0.00
run 0  chan 0  livetime 0.00
run 0  chan 0  livetime 0.00
run 0  chan 0  livetime 0.00
run 0  chan 0  livetime 0.00
run 0  chan 0  livetime 0.00
run 0  chan 0  livetime 0.00
run 0  chan 0  livetime 0.00
run 0  chan 0  livetime 0.00
run 0  chan 0  livetime 0.00
run 0  chan 0  livetime 0.00
run 0  chan 0  livetime 0.00
run 0  chan 0  livetime 0.00
run 0  chan 0  livetime 0.00
run 0  chan 0  livetime 0.00
run 0  chan 0  livetime 0.00
run 0  chan 0  livetime 0.00
run 0  chan 0  livetime 0.00
run 0  chan 0  livetime 0.00
run 0  chan 0  livetime 0.00
run 0  chan 0  livetime 0.00
run 0  chan 0  livetime 0.00
run 0  chan 0  livetime 0.00
run 0  chan 0  livetime 0.00
run 0  chan 0  livetime 0.00
run 0  chan 0  livetime 0.00
run 0  chan 0  livetime 0.00
run 0  chan 0  livetime 0.00
run 0  chan 0  livetime 0.00
run 0  chan 0  livetime 0.00
run 0  chan 0  livetime 0.00
run 0  chan 0  livetime 0.00
run 0  chan 0  livetime 0.00
run 0  chan 0  livetime 0.00
run 0  chan 0  livetime 0.00
run 0  chan 0  livetime 0.00
run 0  chan 0  livetime 0.00
run 0  chan 0  livetime 0.00
run 0  chan 0  livetime 0.00
run 0  chan 0  livetime 0.00
run 0  chan 0  livetime 0.00
run 0  chan 0  livetime 0.00
run 0  chan 0  livetime 0.00
run 0  chan 0  livetime 0.00
run 0  chan 0  livetime 0.00
run 0  chan 0  livetime 0.00
run 0  chan 0  livetime 0.00
run 0  chan 0  livetime 0.00
run 0  chan 0  livetime 0.00
run 0  chan 0  livetime 0.00
run 0  chan 0  livetime 0.00
run 0  chan 0  livetime 0.00
run 0  chan 0  livetime 0.00
run 0  chan 0  livetime 0.00
run 0  chan 0  livetime 0.00
run 0  chan 0  livetime 0.00
run 0  chan 0  livetime 0.00
run 0  chan 0  livetime 0.00
run 0  chan 0  livetime 0.00
run 0  chan 0  livetime 0.00
run 0  chan 0  livetime 0.00
run 0  chan 0  livetime 0.00
run 0  chan 0  livetime 0.00
run 0  chan 0  livetime 0.00
run 0  chan 0  livetime 0.00
run 0  chan 0  livetime 0.00
run 0  chan 0  livetime 0.00
run 0  chan 0  livetime 0.00
run 0  chan 0  livetime 0.00
run 0  chan 0  livetime 0.00
run 0  chan 0  livetime 0.00
run 0  chan 0  livetime 0.00
run 0  chan 0  livetime 0.00
run 0  chan 0  livetime 0.00
run 0  chan 0  livetime 0.00
run 0  chan 0  livetime 0.00
run 0  chan 0  livetime 0.00
run 0  chan 0  livetime 0.00
run 0  chan 0  livetime 0.00
run 0  chan 0  livetime 0.00
run 0  chan 0  livetime 0.00
run 0  chan 0  livetime 0.00
run 0  chan 0  livetime 0.00
run 0  chan 0  livetime 0.00
run 0  chan 0  livetime 0.00
run 0  chan 0  livetime 0.00
run 0  chan 0  livetime 0.00
run 0  chan 0  livetime 0.00
run 0  chan 0  livetime 0.00
run 0  chan 0  livetime 0.00
