channel C P D detID mageID detName isEnr
1232 2 7 4 28717 2000704 B8717 0
1236 2 7 3 1429090 2000703 P42909A 1
1238 2 7 2 1427121 2000702 P42712B 1
1296 2 6 1 1235170 2000601 P23517A 1
1302 2 5 4 1427120 2000504 P42712A 1
1332 2 5 3 1428531 2000503 P42853B 1
1144 2 2 2 28576 2000202 B8576 0
1176 2 3 1 1427490 2000301 P42749A 1
1106 2 2 3 28594 2000203 B8594 0
1110 2 1 3 1427481 2000103 P42748B 1
1170 2 4 1 28607 2000401 B8607 0
1298 2 6 2 1429091 2000602 P42909B 1
1174 2 2 1 28481 2000201 B8481 0
1140 2 1 1 28459 2000101 B8459 0
1172 2 3 2 1427491 2000302 P42749B 1
1208 2 4 2 28456 2000402 B8456 0
1136 2 4 4 28466 2000404 B8466 0
1142 2 1 2 1426641 2000102 P42664B 1
1330 2 5 1 28487 2000501 B8487 0
1204 2 1 4 1427480 2000104 P42748A 1
