channel C P D detID mageID detName isEnr
690 1 6 4 1426620 1000604 P42662A 1
632 1 6 1 1425742 1000601 P42574C 1
1232 2 7 4 28717 2000704 B8717 0
1126 2 1 2 1426641 2000102 P42664B 1
610 1 3 2 1426980 1000302 P42698A 1
592 1 5 3 1426610 1000503 P42661A 1
626 1 6 3 1425740 1000603 P42574A 1
614 1 4 5 28469 1000405 B8469 0
662 1 1 2 1425750 1000102 P42575A 1
648 1 2 2 1426640 1000202 P42664A 1
1174 2 2 1 28481 2000201 B8481 0
1204 2 1 4 1427480 2000104 P42748A 1
1332 2 5 3 1428531 2000503 P42853B 1
658 1 1 4 1425380 1000104 P42538A 1
584 1 3 4 1425730 1000304 P42573A 1
1128 2 2 2 28576 2000202 B8576 0
1236 2 7 3 1429090 2000703 P42909A 1
1176 2 3 1 1427490 2000301 P42749A 1
1302 2 5 4 1427120 2000504 P42712A 1
1124 2 1 1 28459 2000101 B8459 0
598 1 5 2 1425751 1000502 P42575B 1
680 1 7 1 28482 1000701 B8482 0
608 1 3 3 1425381 1000303 P42538B 1
688 1 4 3 28463 1000403 B8463 0
1296 2 6 1 1235170 2000601 P23517A 1
616 1 3 1 28480 1000301 B8480 0
628 1 4 2 28470 1000402 B8470 0
1170 2 4 1 28607 2000401 B8607 0
1208 2 4 2 28456 2000402 B8456 0
1172 2 3 2 1427491 2000302 P42749B 1
1106 2 2 3 28594 2000203 B8594 0
1110 2 1 3 1427481 2000103 P42748B 1
1298 2 6 2 1429091 2000602 P42909B 1
624 1 4 1 28455 1000401 B8455 0
660 1 1 3 1426612 1000103 P42661C 1
674 1 7 3 1426621 1000703 P42662B 1
694 1 4 4 28465 1000404 B8465 0
672 1 7 4 1425370 1000704 P42537A 1
678 1 7 2 1425741 1000702 P42574B 1
640 1 2 3 1426650 1000203 P42665A 1
1330 2 5 1 28487 2000501 B8487 0
1120 2 4 4 28466 2000404 B8466 0
